"","id","cq","xmast","dim","lact","rpro","dnbr","x8"
"109",17113,3,0,25,5,"OK/OPEN","-",NA
"110",17130,3,0,341,4,"PREG","-",NA
"111",17134,1,0,286,4,"PREG","-",NA
"112",17140,3,0,330,4,"NO BRED","REPRO",NA
"113",17144,2,0,208,4,"NO BRED","REPRO",NA
"114",17161,3,0,324,4,"PREG","-",NA
"115",17179,1,1,199,4,"NO BRED","TEATS",NA
"116",17192,2,0,115,5,"NO BRED","UDDER",NA
"117",17215,2,0,145,5,"PREG","-",NA
"118",17218,2,0,65,5,"OK/OPEN","-",NA
"119",17228,3,0,67,5,"OK/OPEN","-",NA
"120",17233,2,0,139,4,"BRED","-",NA
"121",17242,3,0,35,5,"OK/OPEN","-",NA
"122",17252,2,0,40,5,"OK/OPEN","-",NA
"123",17254,3,0,110,5,"BRED","-",NA
"124",17257,3,0,384,4,"PREG","-",NA
"125",17259,0,0,182,4,"NO BRED","HEALTH",NA
"126",17271,0,0,183,4,"PREG","-",NA
"127",17279,2,0,276,4,"PREG","-",NA
"128",17288,2,0,16,5,"OK/OPEN","-",NA
"129",17291,2,0,66,5,"OK/OPEN","-",NA
"130",17314,1,0,389,4,"NO BRED","UDDER",NA
"131",17315,1,0,333,4,"NO BRED","UDDER",NA
"132",17320,2,1,213,4,"PREG","-",NA
"133",17338,3,0,618,3,"NO BRED","UDDER",NA
"134",17341,2,0,34,5,"OK/OPEN","-",NA
"135",17346,2,0,297,4,"PREG","-",NA
"136",17380,3,0,19,5,"OK/OPEN","-",NA
"137",17382,3,0,261,4,"PREG","-",NA
"138",17400,3,0,23,5,"OK/OPEN","-",NA
"139",17404,2,2,558,3,"NO BRED","UDDER",NA
"140",17416,2,0,284,4,"PREG","-",NA
"141",17417,1,0,378,4,"PREG","-",NA
"142",17433,3,0,333,4,"DRY","-",NA
"143",17436,3,0,91,5,"BRED","-",NA
"144",17462,2,0,44,5,"OK/OPEN","-",NA
"145",17463,1,0,126,4,"PREG","-",NA
"146",17474,1,0,268,4,"PREG","-",NA
"147",17513,1,0,388,4,"NO BRED",NA,NA
